psraid,sample,int_date,lang,comp,version,form,qs1,live1,q1a,q1b,q1c,q1d,q1e,q1f,q1g,q1h,q1i,q2a,q2b,q2c,q2d,q2e,q3a,q3b,q3c,q3d,q3e,q3f,eminuse,intmob,home3nw,bbhome1,bbhome2,device1a,smart1,smart2,snsint2,device1b,device1c,device1d,devicehha,devicehhb,devicehhc,devicehhd,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q5,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7a,q7b,q7c,q7d,q8,q9,q10a,q10b,q10c,q10d,q10e,q10f,q10g,libusea,libuseb,libusec,libmob,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,reg,oftvote,sex,age,marital,par,kidage1,educ2,emplnw,disa,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,inc,party,partyln,ideo,hh1,hh3,ql1a,qc1,fips,usr,cregion,state,density,weight,standwt
204442,2,100916,2,1,1,1,2,3,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2, , , ,2, ,1,2,2,2,0,0,0,0,2,2, ,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,3, ,2,22,1,2, ,1,4,2,1,7, , , ,1,99,3,2,4,1, , ,2,6029,S,4,6,1,4.47058823529412,1.57238055973838
204444,2,100816,1,1,1,2,2,3,3,3,4,2,2,2,1,2,3,4,1,2,3,4,1,2,1,1,2,1,1,1,1,2, , , ,2,1,2,1,1,2,3,3,1,1,1,1,1,4,3,2,2,4,2,2,2,3,4,2,3,1,2,4,2,2,1,1,1,1,1,2,1,2,1,3,3, ,1,2,1,1,2,1,2,1,1,4,1,32,6,2, ,3,4,1,2,1, , , , ,4,3,2,4,4,4, ,2,42095,S,1,42,3,5.61764705882353,1.97582030861863
204446,2,101916,1,1,1,1,2,2,3,2,4,2,2,4,3,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2, , , , ,1, , ,2,2,2,1,0,0,0,4,3, ,4,4,4,3, ,4, ,2,9,2,4,2,4,1,1,4,2,1,3,1,1,1,1,1,2,2,3,3,3, ,2,2,2,2,2,2,2,2,3, ,2,52,4,2, ,4,3,1,2,9, , , , ,2,2, ,3,1, , ,1,36061,U,1,36,5,2.97058823529412,1.04480550351037
204449,2,100816,1,1,1,2,2,2,2,1,4,4,1,1,1,2,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,2, , , ,1,1,2,1,1,2,1,3,2,4,1,1,1,1,1,1,1,4,2,2,2,2,2,2,3,1,1,3,2,1,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,20,6,2, ,3,2,2,2,1, , , , ,6,2, ,5,2,2, ,2,55105,U,2,55,2,5.32352941176471,1.87237421916215
204455,2,100816,1,1,1,1,2,3,2,2,2,2,1,1,2,3,2,2,3,2,4,3,2,2,1,1,1,2,1,2,1,2, , ,2, ,2,1,1,2,0,1,0,0,1,2,3,2,2,4,2,2,3, ,1,1,2,3,1,2,4,1,3,1,1,3,1,1,1,2,1,1,2,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,71,3,2, ,7,3,2,2,1, , , , ,6,2, ,3,1, , ,1,39035,S,2,39,5,1,.351716704152007
204456,2,100916,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,4,4,1,4,4,2,1,1,1,2,1,2,1,1,2, , ,1, ,1,2,2,1,2,0,2,1,2,1,2,2,4,4,1,3,4,4,3,4,1,4,2,4,4,1,9,1,2,2,1,2,1,1,1,2,2,2,2,1, ,2,2,2,2,1,2,2,2,1,1,1,80,3,2, ,5,3,2,2,1, , , , ,6,3,2,4,1, , ,1,36061,U,1,36,5,1.5,.52757505622801
204459,2,103116,2,1,1,1,2,2,3,3,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2, , ,1, ,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,4,2,1,1,2,1,2,2,1,1,3,1,1,2,1,1,1,1,1,1,3, ,2,44,2,1,2,3,4,2,1,7, , , ,3,3,2, ,3,5,3, ,2,47037,U,3,47,4,4.58823529411765,1.61375899552097
204460,2,100816,1,1,1,1,2,1,2,1,2,1,4,2,2,2,1,4,2,1,4,2,2,1,1,1,2,1,1,1,1,2, , ,1, ,1,2,1,1,2,1,3,2,2,1,4,2,2,4,2,1,2,4,4,1,2,1,3,2,2,2,1,3,1,3,2,2,1,1,1,2,2,2,2,3, ,1,2,2,2,2,2,2,2,1,2,1,27,6,2, ,8,1,2,2,1, , , , ,99,2, ,3,2,2, ,2,36047,U,1,36,5,1.97058823529412,.693088799358367
204464,2,100816,1,1,1,2,2,1,4,2,3,3,1,2,2,2,2,4,2,1,4,4,2,1,1,1,1,2,1,1,1,2, , , ,1,1,2,1,1,2,1,2,1,4,1,1,1,2,2,1,1,3,3,2,2,3,3,2,3,1,3,2,1,2,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,2,2,1,2,1,2, ,2,22,6,2, ,5,4,2,2,1, , , , ,4,2, ,3,2,2, ,2,6073,U,4,6,3,4.97058823529412,1.74823891181439
204468,2,100816,1,1,1,1,2,3,3,1,2,3,2,2,1,3,1,2,3,1,2,1,2,1,1,1,1,1,1,1,1,2, , ,1, ,2,2,1,1,2,2,1,0,3,3,2,2,2,3,1,1,4, ,2,1,3,2,2,2,2,1,3,4,1,3,1,1,1,2,1,1,2,2,2,3, ,1,2,2,2,1,1,1,1,1,3,1,34,1,1,1,4,1,2,2,1, , , , ,4,1, ,2,4,2, ,2,6103,S,4,6,1,4.23529411764706,1.48962368817321
204469,2,100816,2,1,1,1,2,3,4,3,3,4,2,2,3,2,4,2,2,1,1,2,1,1,1,1,1,1,2,1,2, , , ,2, ,2,2,2,2,3,0,0,0,1,1, ,2,1,1,1,2,3, ,3,2,2,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3, ,1,2,1,1,1,1,1,1,3, ,2,43,1,1,0,1,1,2,1,7, , , ,3,2,1, ,2,7,6, ,1,6087,U,4,6,3,5,1.75858352076003
204476,2,100816,1,1,1,1,2,3,2,1,4,2,2,1,1,1,1,4,4,1,4,4,1,1,1,1,2,1,1,1,1,2, , ,1, ,1,1,1,1,3,1,4,2,2,2,4,4,4,4,1,2,1,2,2,1,1,1,1,2,1,2,4,1,1,3,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,56,1,2, ,6,2,2,2,1, , , , ,99,2, ,4,3,3, ,1,6073,S,4,6,3,1.41176470588235,.496541229391069
204478,2,100816,1,1,1,2,2,2,4,2,3,2,2,3,1,3,2,4,2,2,4,4,2,1,1,1,1,1,1,1,1,2, , , ,1,1,1,1,1,2,1,2,1,4,1,4,4,4,4,4,1,2,3,2,1,3,2,2,2,1,1,4,1,1,4,1,2,1,1,1,1,2,2,2,3, ,2,2,2,2,2,2,2,2,1,3,1,32,1,1,2,8,1,2,2,1, , , , ,7,2, ,4,4,2, ,2,6061,S,4,6,2,2.05882352941176,.724122626195308
204481,2,100816,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,2,3,1,4,2,2,1,1,1,1,1,1,1,1,2, , ,1, ,2,2,1,1,2,1,1,0,1,3,2,2,4,4,1,2,2, ,2,8,2,2,2,2,1,1,4,2,1,3,1,1,1,1,1,1,1,3,3,3, ,2,2,2,2,2,2,2,2,1,1,1,74,1,2, ,6,3,1,2,1, , , , ,7,3,8,3,2,2, ,1,36005,U,1,36,5,1.20588235294118,.424128966771538
204483,2,100816,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,4,3,1,4,4,2,1,1,1,1,1,1,1,1,2, , , ,1,1,1,2,1,2,2,2,2,1,2,1,1,1,3,1,1,2,3,2,2,2,2,2,2,1,2,2,3,1,3,1,1,1,1,1,1,2,1,3,3, ,1,2,2,1,2,2,1,1,1,1,1,67,1,2, ,5,3,2,2,1, , , , ,7,9,2,3,1, , ,1,6073,S,4,6,3,1.47058823529412,.517230447282363
204492,2,100816,1,1,1,2,2,3,1,2,3,1,1,2,2,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1,2, , , ,1,1,2,2,1,1,1,1,1,4,2,3,2,3,3,3,1,2,3,1,2,2,2,2,3,1,2,3,1,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,63,1,2, ,4,1,2,2,1, , , , ,7,3,1,3,1, , ,1,26065,U,2,26,3,1.88235294117647,.662054972521425
204493,2,100816,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,4,2,2,4,4,2,1,1,1,1,1,1,1,1,2, , ,1, ,1,1,1,1,3,2,2,1,2,3,2,3,1,1,3,1,3,4,2,1,2,1,1,2,1,2,3,1,1,3,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,51,1,2, ,8,8,2,2,1, , , , ,9,2, ,3,2,2, ,1,40109,S,3,40,4,1.52941176470588,.537919665173658
204496,2,100816,1,1,1,1,2,3,4,3,1,2,2,3,2,1,3,4,1,1,4,3,2,1,1,1,1,1,1,1,1,2, , ,1, ,1,2,1,1,1,1,1,0,4,4,4,1,4,3,4,1,1,2,2,1,1,1,1,2,4,1,3,3,1,3,1,2,1,1,1,1,2,1,1,3,1,1,2,1,1,2,1,2,1,1,3,1,30,6,2, ,6,1,2,2,1, , , , ,3,2, ,4,1, , ,2,5143,S,3,5,2,1.73529411764706,.610331927793188
