"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"883565926473486336","Pamela Spenser","PamSpenser","Oslo, Norge","","https://t.co/hp2YSSx63E","6502","583","2017-07-08","en"
"q388Swdv1gEJg7jUjSpzGKIhEHc37w6yXe4DLwBuw=","q388Swdv1gEJg7jUjSpzGKIhEHc37w6yXe4DLwBuw=","q388Swdv1gEJg7jUjSpzGKIhEHc37w6yXe4DLwBuw=","Somewhere in Syria","Ex @PamSpenser. I work to make Syria the best place on the Earth - free and safe.","","144","237","2019-06-02","en"
"3zIYK8MEFJoOspSoDuQYI+Bqi7cyAOsQnlPHRdJue0=","3zIYK8MEFJoOspSoDuQYI+Bqi7cyAOsQnlPHRdJue0=","3zIYK8MEFJoOspSoDuQYI+Bqi7cyAOsQnlPHRdJue0=","","","","0","2","2019-07-11","en"
"if+944C9xU5IQj6xyppVV0Y46dcpBR2KBV++DLP8+M=","if+944C9xU5IQj6xyppVV0Y46dcpBR2KBV++DLP8+M=","if+944C9xU5IQj6xyppVV0Y46dcpBR2KBV++DLP8+M=","","","","278","235","2017-01-28","ru"
"uYN3AYZyaF+k6JdHpC4rmmzTWrTqfsdiQYu8oYPd7Y=","uYN3AYZyaF+k6JdHpC4rmmzTWrTqfsdiQYu8oYPd7Y=","uYN3AYZyaF+k6JdHpC4rmmzTWrTqfsdiQYu8oYPd7Y=","Уссурийск, Россия","Сказочный персонаж! Увлекаюсь музыкой, автомобилями, спортом","","14","193","2017-08-18","ru"
"P6E1UW0tHBrBVxJ1b3JuRezhknH2vgIZdKFtF1Wjd8=","P6E1UW0tHBrBVxJ1b3JuRezhknH2vgIZdKFtF1Wjd8=","P6E1UW0tHBrBVxJ1b3JuRezhknH2vgIZdKFtF1Wjd8=","idlib","gay rights defender","","154","366","2019-06-17","en"
"iAcM5ieES24u7WpT+cRQobBp2jPbkGeB4ghugn5wuU=","iAcM5ieES24u7WpT+cRQobBp2jPbkGeB4ghugn5wuU=","iAcM5ieES24u7WpT+cRQobBp2jPbkGeB4ghugn5wuU=","","Your unofficial guide to NATO life. Alliance military activities, its policy, accomplishments & failures. Sometimes funny || Private opinion & commentaries","","0","7","2019-11-22","en"
"kdVVyjajARFWo4YfMjU6IVQ3DPKY+CbbxwgUeSPD8iw=","kdVVyjajARFWo4YfMjU6IVQ3DPKY+CbbxwgUeSPD8iw=","kdVVyjajARFWo4YfMjU6IVQ3DPKY+CbbxwgUeSPD8iw=","Дальний Восток","","","1136","3344","2016-10-04","ru"
"kdVVyjajARFWo4YfMjU6IVQ3DPKY+CbbxwgUeSPD8iw=","kdVVyjajARFWo4YfMjU6IVQ3DPKY+CbbxwgUeSPD8iw=","kdVVyjajARFWo4YfMjU6IVQ3DPKY+CbbxwgUeSPD8iw=","Дальний Восток","","","1136","3344","2016-10-04","ru"
"FNcdLLDK5SDDCoSP2KltcvTGkWUoFIgbirzVzKQsPg0=","FNcdLLDK5SDDCoSP2KltcvTGkWUoFIgbirzVzKQsPg0=","FNcdLLDK5SDDCoSP2KltcvTGkWUoFIgbirzVzKQsPg0=","","","","0","26","2020-12-06","en"
