"","source","target","Edge Weight"
"349","hellolinda813","DefendWisconsin",1
"350","hellolinda813","TheDailyEdge",1
"351","hellolinda813","fox11news",1
"352","hellolinda813","gbpressgazette",1
"353","crookedwren","Jarjarbug",1
"354","crookedwren","wishladya",1
"355","crookedwren","TheFlaCracker",1
"356","TheFlaCracker","crookedwren",1
"357","LCranston1939","sandraDXB",1
"358","TheDailyEdge","sandraDXB",1
"359","sandraDXB","Salon",1
"360","sandraDXB","DefendWisconsin",1
"361","sandraDXB","LCranston1939",1
"362","sandraDXB","prwatch",1
"363","sandraDXB","WeRWisconsin",1
"364","sandraDXB","AndrewKroll",1
"365","sandraDXB","TheDailyEdge",1
"366","Progress2day","BRomanick",1
"367","yiawda","BRomanick",1
"368","BRomanick","Progress2day",1
"369","BRomanick","DrGlenBarry",1
"370","BRomanick","yiawda",1
"371","LPMercer","VTthunder",1
"372","oopsieee","VTthunder",1
"373","Progress2day","VTthunder",1
"374","Our4thEstate","VTthunder",1
"375","LtlRedX","VTthunder",1
"376","AlwaysThinkHow","VTthunder",1
"377","VTthunder","V1ct0rCR0cc0",1
"378","VTthunder","oopsieee",1
"379","VTthunder","PolitiScoop",1
"380","VTthunder","FoL2009",1
"381","VTthunder","Maggyw519",1
"382","VTthunder","txmattie",1
"383","VTthunder","Progress2day",1
"384","VTthunder","LtlRedX",1
"385","VTthunder","AlwaysThinkHow",1
"386","VTthunder","HateFree_Speech",1
"387","VTthunder","TruthSucceeds",1
"388","VTthunder","Our4thEstate",1
"389","VTthunder","CoffeeBean26",1
"390","VTthunder","LPMercer",1
"391","VTthunder","The_Anti_Fox",1
"392","TruthSucceeds","VTthunder",1
"393","HateFree_Speech","VTthunder",1
"394","TonyEnlow","TheDailyEdge",1
"395","TonyEnlow","SpudLovr",1
"396","TonyEnlow","DefeatVos",1
"397","TonyEnlow","Jipso19",1
"398","TonyEnlow","theonlyadult",1
"399","TonyEnlow","HateFree_Speech",1
"400","TonyEnlow","lafloran",1
"401","SpudLovr","TonyEnlow",1
"402","lafloran","TonyEnlow",1
"403","DefeatVos","TonyEnlow",1
"404","Jipso19","TonyEnlow",1
"405","TheDailyEdge","TonyEnlow",1
"406","HateFree_Speech","TonyEnlow",1
"407","como615","AFTunion",1
"408","como615","Progress2day",1
"409","como615","TheDailyEdge",1
"410","como615","SpudLovr",1
"411","Our4thEstate","CA_Lady",1
"412","GKMTNtwits","CA_Lady",1
"413","TheGameOfLife","CA_Lady",1
