ID,INCOME,RACE,SEX,SELF_ESTEEM
522,0,2,2,27
526,22000,3,1,19
527,6000,3,2,25
531,10000,3,1,19
532,0,3,2,17
533,3200,3,2,23
536,3000,3,2,21
538,4000,3,1,18
539,13000,3,1,25
543,0,3,1,22
544,2500,3,2,25
545,12000,3,1,30
547,10000,3,1,29
550,7500,3,2,26
556,2700,3,1,30
557,1674,3,2,26
559,1700,3,1,26
560,3440,3,1,29
561,1600,3,2,27
563,15000,3,2,29
564,11000,3,1,23
565,600,3,1,29
569,5600,3,1,21
573,1000,3,1,23
575,3100,3,1,22
577,800,3,2,30
578,1000,3,1,20
580,1200,3,1,22
581,17000,3,1,19
582,4000,3,2,22
583,8200,3,1,24
584,3300,3,1,19
586,500,3,1,21
587,0,3,1,13
593,1600,1,2,25
595,1400,2,1,19
598,0,2,2,24
599,2691,2,1,20
603,1450,3,2,19
608,4000,3,2,28
611,8000,3,2,28
612,4000,3,2,28
614,0,1,2,25
615,1400,3,2,23
618,2700,3,2,23
619,100,3,2,28
620,18000,2,1,24
621,0,2,2,24
625,5000,2,1,21
626,2718,3,2,27
627,6000,3,2,23
631,6000,3,1,18
632,60,3,2,18
633,8000,3,1,30
634,1150,3,2,29
635,9000,3,2,22
644,3200,3,1,21
647,1997,3,1,18
649,4300,3,1,30
652,1200,3,2,28
653,600,3,1,25
655,5000,3,2,27
658,11000,3,1,22
660,4500,3,2,20
664,1300,3,2,29
666,140,3,1,18
669,1800,3,1,22
670,1500,3,2,19
673,1200,2,1,20
679,2000,2,1,30
680,300,2,2,20
683,1779,2,2,21
684,4500,3,1,28
687,3000,3,1,25
697,15000,3,1,19
699,4000,3,2,29
701,0,3,1,19
702,0,3,1,24
704,16000,3,2,30
706,0,3,2,18
708,800,3,2,20
709,920,3,1,21
710,6000,3,1,27
712,11000,3,2,24
715,14000,3,1,20
716,2000,3,1,22
718,8000,3,1,30
719,8000,3,1,15
720,240,3,2,30
722,6000,3,1,22
729,13000,3,1,19
730,4500,3,1,20
731,10000,3,1,21
732,4000,3,1,21
738,14500,3,1,15
739,320,3,2,20
742,2400,3,1,29
743,830,3,2,26
745,6000,2,2,23
748,1100,3,2,25
749,18000,3,1,22
752,2250,3,2,21
753,9000,2,1,17
755,1400,1,2,20
758,3000,2,2,25
759,0,2,2,19
761,0,3,2,20
762,3600,1,1,30
766,500,3,1,17
769,14000,3,1,30
771,8000,3,1,21
772,12000,3,1,25
774,2000,3,1,28
775,2240,3,2,23
780,4700,3,1,20
782,9000,1,1,23
785,8500,3,2,26
786,6000,3,1,16
788,3000,3,2,25
789,40,3,2,21
792,2500,3,2,15
793,7000,3,1,21
796,4000,3,1,19
800,1200,3,1,27
801,900,3,2,17
805,6000,3,2,18
809,3800,3,1,23
810,3000,3,2,25
811,1500,3,2,20
812,3000,3,2,28
813,4200,3,1,21
814,6000,3,2,30
815,8100,3,1,18
816,600,3,2,29
